
EXP:	Wed Jul 13 23:02:06 2011
CO-EVOLUTION [1310590926]
WORLD_SIZE=	300x150
THE_MAPP=	
DOWRY_OF_OFFSPRING=	0.05
AUTOTROPHS_EFFECTIVENESS=	0.99
MAX_AGE=	50
FERTILITY=	0.2
RTG=	0.000125
LIKELIHOOD_OF_DISASTERS=	0(disabled)
PREDATORY EXPLOITATION=	YES
MAX_MOVE=	1
DONT_MOVE_BIT=	1024
FLEXIBLE_MOVING=	YES
MONTECARLO STEPS per BIG STEP=	10
DATA_VER	MCStep	num. of agents	num. of autotrophs	clones	autotrophic clones	species	autotrophic species	clones from the beginning	species from the begining	Mean(EnergyA)	SD(EnergyA)	Max(EnergyA)	Mean(AgeA)	SD(AgeA)	Max(AgeA)	Min(DefenceA)	Max(DefenceA)	Min(TrophyA)	Max(TrophyA)	WhichMain(spec. bits of autotrophs)	MainClass(spec. bits of autotrophs)	WhichMain(spec. bits of heterotrophs)	MainClass(spec. bits of heterotrophs)	N1(spec. bits of autotrophs)	N2(spec. bits of autotrophs)	N3(spec. bits of autotrophs)	N4(spec. bits of autotrophs)	N5(spec. bits of autotrophs)	N6(spec. bits of autotrophs)	N7(spec. bits of autotrophs)	N8(spec. bits of autotrophs)	N9(spec. bits of autotrophs)	N10(spec. bits of autotrophs)	N11(spec. bits of autotrophs)	N12(spec. bits of autotrophs)	N13(spec. bits of autotrophs)	N14(spec. bits of autotrophs)	N15(spec. bits of autotrophs)	N16(spec. bits of autotrophs)	N1(spec. bits of heterotrophs)	N2(spec. bits of heterotrophs)	N3(spec. bits of heterotrophs)	N4(spec. bits of heterotrophs)	N5(spec. bits of heterotrophs)	N6(spec. bits of heterotrophs)	N7(spec. bits of heterotrophs)	N8(spec. bits of heterotrophs)	N9(spec. bits of heterotrophs)	N10(spec. bits of heterotrophs)	N11(spec. bits of heterotrophs)	N12(spec. bits of heterotrophs)	N13(spec. bits of heterotrophs)	N14(spec. bits of heterotrophs)	N15(spec. bits of heterotrophs)	N16(spec. bits of heterotrophs)	CLOCK
0	10	3	3	1	1	0	0	1	1	230	85.7146	319	210	5.2915	255	0	255	0	255	16.5	3	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12671
1	20	6	6	1	1	0	0	1	1	506.667	361.25	1021	214.167	7.25029	255	0	255	0	255	16.5	6	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12796
2	30	13	13	1	1	0	0	1	1	600.923	587.833	1812	215.846	10.1886	255	0	255	0	255	16.5	13	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12921
3	40	35	35	1	1	0	0	1	1	531.743	394.603	1970	215.514	10.048	255	0	255	0	255	16.5	35	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13078
4	50	75	75	1	1	0	0	1	1	629.28	503.531	2327	216.64	10.6867	255	0	255	0	255	16.5	75	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13187
5	60	171	171	1	1	1	1	1	1	651.626	516.727	2985	216.596	10.5209	255	0	255	0	255	16.5	171	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13312
6	70	340	340	1	1	1	1	1	1	784.871	587.147	4052	218.038	11.1869	255	0	255	0	255	16.5	340	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13437
7	80	586	586	1	1	1	1	1	1	975.28	708.521	3732	219.805	11.9613	255	0	255	0	255	16.5	586	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13562
8	90	900	900	2	2	1	1	2	2	1161.43	859	4695	221.294	12.4832	255	0	255	0	255	16.5	899	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13687
9	100	1239	1238	4	3	1	1	4	4	1384.7	977.024	4883	223.307	13.1502	255	0	255	0	255	16.5	1236	15.5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13812
10	110	1638	1637	4	3	1	1	5	5	1542.58	1084.89	4911	224.626	13.711	255	0	255	0	255	16.5	1633	15.5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13953
11	120	2080	2077	4	3	1	1	6	6	1619.78	1183.5	9882	225.175	14.1702	255	0	255	0	255	16.5	2070	15.5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	14093
12	130	2553	2543	6	3	1	1	9	9	1683.98	1390.92	30311	225.467	14.288	255	0	255	0	255	16.5	2536	15.5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	14250
13	140	3124	3112	7	3	1	1	11	11	1684.45	1636.93	47463	225.229	14.4156	255	0	255	0	255	16.5	3103	15.5	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	14421
14	150	3789	3775	11	5	1	1	18	17	1708.94	1576.64	36523	225.423	14.3404	255	0	255	0	255	16.5	3761	15.5	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	3761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	14578
15	160	4458	4437	11	5	1	1	19	18	1767.55	1853.78	42261	225.568	14.1448	255	0	255	0	255	16.5	4420	15.5	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	4420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	14750
16	170	5259	5227	13	7	1	1	24	23	1843.75	2399.93	60816	225.919	14.284	255	0	255	0	255	16.5	5200	15.5	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	5200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	14921
17	180	6033	5984	14	7	1	1	27	24	1918.62	2764.58	74316	226.238	14.3643	255	0	255	0	255	16.5	5947	15.5	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	5947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	15093
18	190	6771	6717	16	8	1	1	30	27	1968.73	3435.61	141562	226.451	14.3876	255	0	255	0	255	16.5	6668	15.5	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	6668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	15296
19	200	7639	7556	15	7	1	1	33	28	2023.31	3748.37	155645	226.622	14.5263	255	0	255	0	255	16.5	7502	15.5	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	7502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	15484
20	210	8532	8453	16	8	1	1	37	30	2010.7	3538.33	133718	226.537	14.613	255	0	255	0	255	16.5	8384	15.5	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	8384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	15687
21	220	9478	9383	16	8	1	1	46	39	2032.58	3723.46	135418	226.389	14.4881	255	0	255	0	255	16.5	9298	15.5	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	9298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	15890
22	230	10395	10273	16	9	1	1	51	40	2089.79	4174.77	163267	226.686	14.4563	255	0	255	0	255	16.5	10170	15.5	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	10170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	16125
23	240	11383	11243	15	8	1	1	60	48	2133.48	4510.18	168114	226.774	14.5564	255	0	255	0	255	16.5	11119	15.5	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	11119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	16343
24	250	12372	12207	16	9	1	1	68	54	2123.97	4236.69	176818	226.665	14.5965	255	0	255	0	255	16.5	12054	15.5	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	12054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	16593
25	260	13431	13221	17	9	1	1	81	63	2142.15	4652.8	190642	226.425	14.61	255	0	255	0	255	16.5	13064	15.5	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	13064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	16843
26	270	14427	14162	17	9	1	1	87	65	2169.16	4594.44	170303	226.385	14.4178	255	0	255	0	255	16.5	13984	15.5	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	13984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	0	17140
27	280	15265	14950	17	9	1	1	94	70	2233.68	4691.22	195026	226.76	14.5444	255	0	255	0	255	16.5	14772	15.5	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	14772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	0	17406
28	290	16080	15735	17	9	2	1	98	71	2290.58	5445.16	212502	226.644	14.6409	255	0	255	0	255	16.5	15554	15.5	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	15554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345	0	17687
29	300	16825	16405	19	9	2	1	114	78	2308.63	5759.68	325602	226.574	14.6686	255	0	255	0	255	16.5	16219	15.5	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	16219	0	0	0	0	0	0	0	0	0	0	0	0	0	2	418	0	17984
30	310	17398	16910	19	9	2	1	123	82	2332.15	5667.54	313384	226.371	14.5931	255	0	255	0	255	16.5	16715	15.5	485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	16715	0	0	0	0	0	0	0	0	0	0	0	0	0	3	485	0	18281
31	320	18061	17465	21	11	4	1	135	89	2371.54	5987.36	322935	226.133	14.6187	255	0	255	0	255	16.5	17253	15.5	593	0	0	0	0	0	0	0	0	0	0	0	0	0	2	210	17253	0	0	0	0	0	0	0	0	0	0	0	0	0	3	593	0	18578
32	330	18530	17891	21	10	4	1	148	95	2446.72	6485.29	303095	226.181	14.6039	255	0	255	0	255	16.5	17667	15.5	635	0	0	0	0	0	0	0	0	0	0	0	0	0	1	223	17667	0	0	0	0	0	0	0	0	0	0	0	0	0	4	635	0	18890
33	340	19071	18289	22	10	4	1	162	103	2481.95	6900.34	289992	225.781	14.6305	255	0	255	0	255	16.5	18057	15.5	777	0	0	0	0	0	0	0	0	0	0	0	0	0	2	230	18057	0	0	0	0	0	0	0	0	0	0	0	0	0	5	777	0	19218
34	350	19647	18759	23	11	6	1	171	103	2511.46	7214.2	276976	225.517	14.5812	255	0	255	0	255	16.5	18522	15.5	879	0	0	0	0	0	0	0	0	0	0	0	0	0	3	234	18522	0	0	0	0	0	0	0	0	0	0	0	0	0	9	879	0	19390
35	360	20029	19076	22	11	7	1	185	105	2546.47	7238.57	276627	225.469	14.5877	255	0	255	0	255	16.5	18849	15.5	946	0	0	0	0	0	0	0	0	0	0	0	0	0	2	225	18849	0	0	0	0	0	0	0	0	0	0	0	0	0	7	946	0	19578
36	370	20537	19479	22	11	7	1	196	107	2564.87	7413.23	277162	225.155	14.4616	255	0	255	0	255	16.5	19236	15.5	1047	0	0	0	0	0	0	0	0	0	0	0	0	0	3	240	19236	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1047	0	19750
37	380	20979	19788	25	11	7	1	225	121	2615.61	7812.48	349678	225.066	14.5321	255	0	255	0	255	16.5	19528	15.5	1175	0	0	0	0	0	0	0	0	0	0	0	0	0	5	255	19528	0	0	0	0	0	0	0	0	0	0	0	0	0	16	1175	0	19937
38	390	21145	19809	25	11	7	1	238	117	2671.51	8399.97	342295	224.879	14.5665	255	0	255	0	255	16.5	19550	15.5	1313	0	0	0	0	0	0	0	0	0	0	0	0	0	3	256	19550	0	0	0	0	0	0	0	0	0	0	0	0	0	23	1313	0	20125
39	400	21292	19845	24	11	7	1	257	121	2719.36	8847.81	348063	224.661	14.504	255	0	255	0	255	16.5	19590	15.5	1428	0	0	0	0	0	0	0	0	0	0	0	0	0	5	250	19590	0	0	0	0	0	0	0	0	0	0	0	0	0	19	1428	0	20312
40	410	21628	19996	25	11	8	1	272	126	2725.91	9026.74	397344	224.366	14.4411	255	0	255	0	255	16.5	19733	15.5	1614	0	0	0	0	0	0	0	0	0	0	0	0	0	4	259	19733	0	0	0	0	0	0	0	0	0	0	0	0	0	18	1614	0	20500
41	420	21872	20103	27	11	8	1	295	137	2771.91	9595.61	378958	224.245	14.4667	255	0	255	0	255	16.5	19823	15.5	1746	0	0	0	0	0	0	0	0	0	0	0	0	0	4	276	19823	0	0	0	0	0	0	0	0	0	0	0	0	0	23	1746	0	20687
42	430	22029	20131	30	13	9	1	309	134	2831.36	10331.8	551785	224.14	14.4538	255	0	255	0	255	16.5	19854	15.5	1872	0	0	0	0	0	0	0	0	0	0	0	0	0	7	270	19854	0	0	0	0	0	0	0	0	0	0	0	0	0	26	1872	0	20875
43	440	22121	20128	30	13	10	2	335	144	2857.86	10756.2	518459	224.035	14.4422	255	0	255	0	255	16.5	19818	15.5	1968	0	0	0	0	0	0	0	0	0	0	0	0	0	10	300	19818	0	0	0	0	0	0	0	0	0	0	0	0	0	25	1968	0	21062
44	450	22317	20276	29	13	10	2	363	143	2880.13	10852.4	520137	224.042	14.4683	255	0	255	0	255	16.5	19962	15.5	2014	0	0	0	0	0	0	0	0	0	0	0	0	0	8	306	19962	0	0	0	0	0	0	0	0	0	0	0	0	0	27	2014	0	21265
45	460	22583	20418	30	13	10	2	382	146	2865.15	11105	475353	223.81	14.3762	255	0	255	0	255	16.5	20083	15.5	2135	0	0	0	0	0	0	0	0	0	0	0	0	0	8	327	20083	0	0	0	0	0	0	0	0	0	0	0	0	0	30	2135	0	21453
46	470	22992	20707	31	13	10	2	407	154	2833.79	10539.7	422325	223.767	14.3736	255	0	255	0	255	16.5	20364	15.5	2247	0	0	0	0	0	0	0	0	0	0	0	0	0	8	335	20364	0	0	0	0	0	0	0	0	0	0	0	0	0	38	2247	0	21640
47	480	23250	20896	31	12	10	2	429	156	2857.97	10716.3	405425	223.634	14.3313	255	0	255	0	255	16.5	20559	15.5	2310	0	0	0	0	0	0	0	0	0	0	0	0	0	7	330	20559	0	0	0	0	0	0	0	0	0	0	0	0	0	44	2310	0	21843
48	490	23457	20991	34	12	10	2	451	166	2837.9	10031.2	358804	223.654	14.3293	255	0	255	0	255	16.5	20646	15.5	2415	0	0	0	0	0	0	0	0	0	0	0	0	0	13	332	20646	0	0	0	0	0	0	0	0	0	0	0	0	0	51	2415	0	22031
49	500	23742	21241	32	12	10	2	460	154	2851.06	10280.9	412311	223.686	14.3648	255	0	255	0	255	16.5	20885	15.5	2437	0	0	0	0	0	0	0	0	0	0	0	0	0	11	345	20885	0	0	0	0	0	0	0	0	0	0	0	0	0	64	2437	0	24609
50	510	24075	21413	33	12	10	2	476	158	2876.23	10493.5	429883	223.615	14.4036	255	0	255	0	255	16.5	21020	15.5	2608	0	0	0	0	0	0	0	0	0	0	0	0	0	17	376	21020	0	0	0	0	0	0	0	0	0	0	0	0	0	54	2608	0	24812
51	520	24072	21274	33	12	10	2	502	161	2899.17	10913.2	416235	223.457	14.3921	255	0	255	0	255	16.5	20872	15.5	2751	0	0	0	0	0	0	0	0	0	0	0	0	0	22	380	20872	0	0	0	0	0	0	0	0	0	0	0	0	0	47	2751	0	25000
52	530	23694	20778	31	12	10	2	536	170	2953.25	11126.6	424350	223.397	14.3331	255	0	255	0	255	16.5	20356	15.5	2874	0	0	0	0	0	0	0	0	0	0	0	0	0	22	400	20356	0	0	0	0	0	0	0	0	0	0	0	0	0	42	2874	0	25203
53	540	23452	20459	32	13	10	2	562	172	2998.36	11481.6	459923	223.251	14.287	255	0	255	0	255	16.5	20005	15.5	2944	0	0	0	0	0	0	0	0	0	0	0	0	0	27	427	20005	0	0	0	0	0	0	0	0	0	0	0	0	0	49	2944	0	25390
54	550	22952	19913	33	13	10	2	592	178	3075.39	11944.5	419463	223.091	14.3066	255	0	255	0	255	16.5	19437	15.5	2978	0	0	0	0	0	0	0	0	0	0	0	0	0	25	451	19437	0	0	0	0	0	0	0	0	0	0	0	0	0	61	2978	0	25593
55	560	22658	19534	34	14	10	2	607	170	3076.45	12057.9	464826	223.037	14.2766	255	0	255	0	255	16.5	19029	15.5	3053	0	0	0	0	0	0	0	0	0	0	0	0	0	35	470	19029	0	0	0	0	0	0	0	0	0	0	0	0	0	71	3053	0	25781
56	570	22235	19073	39	14	10	2	642	191	3107.03	12313.8	389810	222.829	14.2703	255	0	255	0	255	16.5	18525	15.5	3084	0	0	0	0	0	0	0	0	0	0	0	0	0	39	509	18525	0	0	0	0	0	0	0	0	0	0	0	0	0	78	3084	0	25968
57	580	21715	18434	42	13	10	2	673	205	3129.32	12570.1	402926	222.57	14.2718	255	0	255	0	255	16.5	17880	15.5	3200	0	0	0	0	0	0	0	0	0	0	0	0	0	36	518	17880	0	0	0	0	0	0	0	0	0	0	0	0	0	81	3200	0	26171
58	590	21090	17635	42	14	10	2	698	204	3128.18	12724.6	426536	222	14.0616	255	0	255	0	255	16.5	17039	15.5	3363	0	0	0	0	0	0	0	0	0	0	0	0	1	40	555	17039	0	0	0	0	0	0	0	0	0	0	0	0	0	92	3363	0	26359
59	600	20357	16804	41	14	10	2	722	203	3169.72	12836	391704	221.607	13.8564	255	0	255	0	255	16.5	16196	15.5	3445	0	0	0	0	0	0	0	0	0	0	0	0	1	32	575	16196	0	0	0	0	0	0	0	0	0	0	0	0	0	108	3445	0	26546
60	610	19833	16306	42	13	10	2	751	213	3177.65	12763.5	374412	221.337	13.7764	255	0	255	0	255	16.5	15659	15.5	3429	0	0	0	0	0	0	0	0	0	0	0	0	1	37	609	15659	0	0	0	0	0	0	0	0	0	0	0	0	1	97	3429	0	26734
61	620	19450	15728	39	13	10	2	772	214	3170.13	12429	339886	221.036	13.6508	255	0	255	0	255	16.5	15070	15.5	3614	0	0	0	0	0	0	0	0	0	0	0	0	2	35	621	15070	0	0	0	0	0	0	0	0	0	0	0	0	0	108	3614	0	26906
62	630	18860	15028	44	13	10	2	802	213	3178.81	12595.5	326760	220.544	13.404	255	0	255	0	255	16.5	14370	15.5	3707	0	0	0	0	0	0	0	0	0	0	0	0	5	47	606	14370	0	0	0	0	0	0	0	0	0	0	0	0	1	124	3707	0	27093
63	640	18177	14331	45	13	10	2	836	210	3219.88	13270.7	536914	220.174	13.2565	255	0	255	0	255	16.5	13633	15.5	3711	0	0	0	0	0	0	0	0	0	0	0	0	5	46	647	13633	0	0	0	0	0	0	0	0	0	0	0	0	1	134	3711	0	27281
64	650	17749	13779	47	14	10	2	860	203	3207.46	13466.8	511238	219.7	13.0553	255	0	255	0	255	16.5	13035	15.5	3832	0	0	0	0	0	0	0	0	0	0	0	0	6	51	687	13035	0	0	0	0	0	0	0	0	0	0	0	0	1	137	3832	0	27453
65	660	17102	13120	46	14	10	2	891	209	3276.84	13902.3	460236	219.427	12.8498	255	0	255	0	255	16.5	12343	15.5	3842	0	0	0	0	0	0	0	0	0	0	0	0	10	64	703	12343	0	0	0	0	0	0	0	0	0	0	0	0	0	140	3842	0	27625
66	670	16678	12652	47	14	10	2	918	206	3285.5	14116.7	486277	219.127	12.6013	255	0	255	0	255	16.5	11827	15.5	3856	0	0	0	0	0	0	0	0	0	0	0	0	19	102	704	11827	0	0	0	0	0	0	0	0	0	0	0	0	0	170	3856	0	27812
67	680	16355	12222	48	14	10	2	941	210	3231.97	14385.2	464699	218.814	12.5187	255	0	255	0	255	16.5	11326	15.5	3947	0	0	0	0	0	0	0	0	0	0	0	0	30	103	763	11326	0	0	0	0	0	0	0	0	0	0	0	0	0	186	3947	0	27984
68	690	15914	11665	49	14	10	2	970	216	3230	14048.4	442871	218.577	12.338	255	0	255	0	255	16.5	10717	15.5	4024	0	0	0	0	0	0	0	0	0	0	0	0	39	85	824	10717	0	0	0	0	0	0	0	0	0	0	0	0	1	224	4024	0	28156
69	700	15269	10949	51	13	10	2	995	221	3274.03	14260.1	465788	218.194	12.0935	255	0	255	0	255	16.5	9954	15.5	4092	0	0	0	0	0	0	0	0	0	0	0	0	49	77	869	9954	0	0	0	0	0	0	0	0	0	0	0	2	1	225	4092	0	28328
70	710	14791	10525	55	14	11	3	1018	229	3267.94	14508.6	460312	217.897	11.8685	255	0	255	0	255	16.5	9435	15.5	4042	0	0	0	0	0	0	0	0	0	0	0	0	52	90	948	9435	0	0	0	0	0	0	0	0	0	0	0	3	2	219	4042	0	28515
71	720	14442	10259	56	14	10	2	1046	226	3204.05	14170.4	453989	217.633	11.6309	255	0	255	0	255	16.5	9103	15.5	3958	0	0	0	0	0	0	0	0	0	0	0	0	64	102	990	9103	0	0	0	0	0	0	0	0	0	0	0	6	3	216	3958	0	28671
72	730	14343	10100	58	18	11	3	1078	230	3161	14102.9	534183	217.606	11.613	255	0	255	0	255	16.5	8783	15.5	4010	0	0	0	0	0	0	0	0	0	0	0	0	82	111	1124	8783	0	0	0	0	0	0	0	0	0	0	0	5	3	225	4010	0	28843
73	740	14130	9838	55	16	12	4	1101	216	3134.33	14022	516506	217.486	11.5273	255	0	255	0	255	16.5	8466	15.5	4046	0	0	0	0	0	0	0	0	0	0	0	0	92	120	1160	8466	0	0	0	0	0	0	0	0	0	0	0	3	5	238	4046	0	29015
74	750	13843	9587	55	17	12	4	1125	219	3074.22	13573.5	482391	217.237	11.284	255	0	255	0	255	16.5	8149	15.5	4047	0	0	0	0	0	0	0	0	0	0	0	0	98	111	1229	8149	0	0	0	0	0	0	0	0	0	0	0	1	4	204	4047	0	29187
75	760	13929	9635	53	17	12	4	1148	222	3008.79	13435.8	535419	217.068	11.2038	255	0	255	0	255	16.5	8069	15.5	4059	0	0	0	0	0	0	0	0	0	0	0	0	109	140	1317	8069	0	0	0	0	0	0	0	0	0	0	0	0	8	227	4059	0	29343
76	770	13843	9618	54	17	13	5	1165	220	2933.95	12977	475517	216.952	11.12	255	0	255	0	255	16.5	7836	15.5	3996	0	0	0	0	0	0	0	0	0	0	0	0	134	159	1489	7836	0	0	0	0	0	0	0	0	0	0	0	0	14	215	3996	0	29515
77	780	13853	9640	57	18	13	5	1196	224	2842.24	12458.4	438137	216.969	11.0972	255	0	255	0	255	16.5	7831	15.5	3987	0	0	0	0	0	0	0	0	0	0	0	0	141	161	1507	7831	0	0	0	0	0	0	0	0	0	0	0	0	16	210	3987	0	29671
78	790	13878	9650	59	16	13	5	1228	234	2797.62	12043	415584	216.937	11.072	255	0	255	0	255	16.5	7701	15.5	3997	0	0	0	0	0	0	0	0	0	0	0	0	189	177	1583	7701	0	0	0	0	0	0	0	0	0	0	0	1	21	209	3997	0	29843
79	800	13953	9765	56	16	13	5	1250	226	2677.57	11769.4	439078	216.978	11.08	255	0	255	0	255	16.5	7652	15.5	3928	0	0	0	0	0	0	0	0	0	0	0	0	215	190	1708	7652	0	0	0	0	0	0	0	0	0	0	0	1	19	240	3928	0	30015
80	810	14009	9739	59	17	13	5	1271	224	2629.19	11581.9	441573	216.982	11.1356	255	0	255	0	255	16.5	7576	15.5	3991	0	0	0	0	0	0	0	0	0	0	0	1	239	213	1710	7576	0	0	0	0	0	0	0	0	0	0	0	1	28	250	3991	0	30390
81	820	13863	9595	60	18	13	5	1298	231	2622.34	11397.8	399042	217.133	11.2007	255	0	255	0	255	16.5	7319	15.5	3984	0	0	0	0	0	0	0	0	0	0	0	1	244	228	1803	7319	0	0	0	0	0	0	0	0	0	0	0	1	39	244	3984	0	30578
82	830	13950	9649	59	16	13	5	1330	227	2566.16	10756.4	412027	216.862	11.0376	255	0	255	0	255	16.5	7180	15.5	4015	0	0	0	0	0	0	0	0	0	0	0	0	275	253	1941	7180	0	0	0	0	0	0	0	0	0	0	0	2	25	259	4015	0	30781
83	840	13969	9713	59	16	13	5	1360	228	2534.6	10337.3	374712	216.852	10.9441	255	0	255	0	255	16.5	7003	15.5	3961	0	0	0	0	0	0	0	0	0	0	0	0	298	303	2109	7003	0	0	0	0	0	0	0	0	0	0	0	2	28	265	3961	0	30937
84	850	13798	9576	59	18	13	5	1387	228	2522.69	10252.7	375234	216.866	11.0536	255	0	255	0	255	16.5	6748	15.5	3912	0	0	0	0	0	0	0	0	0	0	0	0	300	328	2200	6748	0	0	0	0	0	0	0	0	0	0	0	0	40	270	3912	0	31109
85	860	14023	9730	64	17	13	5	1415	231	2456.37	9993.16	307083	216.957	11.1293	255	0	255	0	255	16.5	6709	15.5	3975	0	0	0	0	0	0	0	0	0	0	0	0	342	381	2298	6709	0	0	0	0	0	0	0	0	0	0	0	3	53	262	3975	0	31265
86	870	14047	9762	62	16	13	5	1434	228	2385.24	9546.58	313602	216.975	11.196	255	0	255	0	255	16.5	6706	15.5	3931	0	0	0	0	0	0	0	0	0	0	0	0	324	405	2327	6706	0	0	0	0	0	0	0	0	0	0	0	6	42	306	3931	0	31437
87	880	14078	9724	62	15	13	5	1456	228	2356.64	9547.46	321053	216.889	11.1059	255	0	255	0	255	16.5	6502	15.5	3983	0	0	0	0	0	0	0	0	0	0	0	0	351	443	2428	6502	0	0	0	0	0	0	0	0	0	0	0	4	54	313	3983	0	31593
88	890	13889	9666	63	15	13	5	1480	233	2360.56	9107.56	279926	216.913	11.0901	255	0	255	0	255	16.5	6289	15.5	3874	0	0	0	0	0	0	0	0	0	0	0	0	373	502	2502	6289	0	0	0	0	0	0	0	0	0	0	0	9	45	295	3874	0	31765
89	900	14127	10015	64	18	13	5	1505	242	2305.5	8944.99	280937	216.759	10.9212	255	0	255	0	255	16.5	6399	15.5	3801	0	0	0	0	0	0	0	0	0	0	0	0	397	521	2698	6399	0	0	0	0	0	0	0	0	0	0	0	4	40	267	3801	0	31937
90	910	14433	10284	65	21	13	5	1533	244	2243.66	8567.46	286095	216.88	10.9636	255	0	255	0	255	16.5	6480	15.5	3834	0	0	0	0	0	0	0	0	0	0	0	1	435	573	2795	6480	0	0	0	0	0	0	0	0	0	0	0	3	41	271	3834	0	32093
91	920	14675	10564	67	21	13	5	1562	243	2189.62	8068.18	244067	216.955	11.1126	255	0	255	0	255	16.5	6476	15.5	3769	0	0	0	0	0	0	0	0	0	0	0	5	456	592	3035	6476	0	0	0	0	0	0	0	0	0	0	0	4	40	298	3769	0	32265
92	930	14842	10675	63	21	13	5	1586	243	2170.21	7930.98	288984	217.016	11.236	255	0	255	0	255	16.5	6497	15.5	3787	0	0	0	0	0	0	0	0	0	0	0	8	456	647	3067	6497	0	0	0	0	0	0	0	0	0	0	0	5	48	327	3787	0	32437
93	940	15042	10742	61	20	13	5	1606	235	2145.95	7901.43	274015	216.905	11.1154	255	0	255	0	255	16.5	6474	15.5	3949	0	0	0	0	0	0	0	0	0	0	0	7	476	706	3079	6474	0	0	0	0	0	0	0	0	0	0	0	7	41	303	3949	0	32593
94	950	15008	10673	67	20	12	4	1629	233	2138.5	7710.45	246332	216.912	11.1131	255	0	255	0	255	16.5	6335	15.5	3969	0	0	0	0	0	0	0	0	0	0	0	5	529	764	3040	6335	0	0	0	0	0	0	0	0	0	0	0	9	41	316	3969	0	32765
