
EXP:	Thu Dec 27 20:32:56 2018
CO-EVOLUTION [1545939176]
WORLD_SIZE=	300x150
THE_MAPP=	
DOWRY_OF_OFFSPRING=	0.05
AUTOTROPHS_EFFECTIVENESS=	0.99
MAX_AGE=	50
FERTILITY=	0.2
RTG=	0.000125
LIKELIHOOD_OF_DISASTERS=	0(disabled)
PREDATORY EXPLOITATION=	YES
MAX_MOVE=	1
DONT_MOVE_BIT=	1024
FLEXIBLE_MOVING=	YES
MONTECARLO STEPS per BIG STEP=	10

EXP:	Thu Dec 27 20:38:45 2018
CO-EVOLUTION [1545939525]
WORLD_SIZE=	300x150
THE_MAPP=	
DOWRY_OF_OFFSPRING=	0.05
AUTOTROPHS_EFFECTIVENESS=	0.99
MAX_AGE=	50
FERTILITY=	0.2
RTG=	0.000125
LIKELIHOOD_OF_DISASTERS=	0(disabled)
PREDATORY EXPLOITATION=	YES
MAX_MOVE=	1
DONT_MOVE_BIT=	1024
FLEXIBLE_MOVING=	YES
MONTECARLO STEPS per BIG STEP=	10

EXP:	Thu Dec 27 20:56:58 2018
KO-EWOLUCJA [1545940618]
ROZMIAR=	200x100
MAPA=	
WYPOSAZENIE_POTOMSTWA=	0.05
EFEKTYWNOSC_AUTOTROFA=	0.5
MAX_WIEK=	50
PLODNOSC=	0.2
RTG=	0.000625
PRAWDOPODOBIENSTWO KATASTROF=	0(disabled)
EKSPLOATACJA=	DRAPIEZNICZA
DYSTANS RUCHU=	1
BIT_STABILIZACJI_RUCHU=	1024
ELASTYCZNE MIJANIE=	YES
MONTECARLO STEPS per STEP=	10
 STEP/VERSION	liczba agentow	liczba autotrofow	klony	klony autotroficzne	taksony	taksony autotroficzne	klonów od poczatku	taksonów od poczatku	Mean(EnergiaZ)	SD(EnergiaZ)	Max(EnergiaZ)	Mean(WiekZ)	SD(WiekZ)	Max(WiekZ)	Min(OslonaZ)	Max(OslonaZ)	Min(TrofiaZ)	Max(TrofiaZ)	WhichMain(bity autotrofów)	MainClass(bity autotrofów)	WhichMain(bity heterotrofów)	MainClass(bity heterotrofów)	N1(bity autotrofów)	N2(bity autotrofów)	N3(bity autotrofów)	N4(bity autotrofów)	N5(bity autotrofów)	N6(bity autotrofów)	N7(bity autotrofów)	N8(bity autotrofów)	N9(bity autotrofów)	N10(bity autotrofów)	N11(bity autotrofów)	N12(bity autotrofów)	N13(bity autotrofów)	N14(bity autotrofów)	N15(bity autotrofów)	N16(bity autotrofów)	N1(bity heterotrofów)	N2(bity heterotrofów)	N3(bity heterotrofów)	N4(bity heterotrofów)	N5(bity heterotrofów)	N6(bity heterotrofów)	N7(bity heterotrofów)	N8(bity heterotrofów)	N9(bity heterotrofów)	N10(bity heterotrofów)	N11(bity heterotrofów)	N12(bity heterotrofów)	N13(bity heterotrofów)	N14(bity heterotrofów)	N15(bity heterotrofów)	N16(bity heterotrofów)	
14	680	648	7	2	1	1	11	9	552.479	656.81	10081	221.474	13.054	255	0	255	0	255	16.5	647	15.5	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	
15	871	825	7	2	1	1	14	11	576.108	725.401	10341	221.948	13.2908	255	0	255	0	255	16.5	822	15.5	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	
16	1070	1020	9	3	1	1	18	15	601.934	799.356	11846	222.558	13.4944	255	0	255	0	255	16.5	1016	15.5	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	
17	1309	1240	12	4	1	1	23	20	626.635	866.322	12653	222.529	13.5152	255	0	255	0	255	16.5	1235	15.5	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1235	0	0	0	0	0	0	0	0	0	0	0	0	0	1	68	0	
18	1569	1486	13	5	1	1	27	24	660.034	1092.36	19834	222.563	13.5785	255	0	255	0	255	16.5	1479	15.5	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1479	0	0	0	0	0	0	0	0	0	0	0	0	0	1	82	0	
19	1839	1729	16	7	1	1	38	30	710.337	1166.83	18612	223.388	13.6659	255	0	255	0	255	16.5	1719	15.5	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1719	0	0	0	0	0	0	0	0	0	0	0	0	0	2	108	0	
20	2056	1938	15	6	1	1	45	32	746.587	1217.92	23595	223.692	13.7735	255	0	255	0	255	16.5	1926	15.5	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1926	0	0	0	0	0	0	0	0	0	0	0	0	0	4	114	0	
21	2296	2144	16	6	1	1	54	36	785.227	1258.62	19526	223.804	14.039	255	0	255	0	255	16.5	2129	15.5	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	2129	0	0	0	0	0	0	0	0	0	0	0	0	0	4	148	0	
22	2545	2362	17	6	1	1	62	40	796.298	1496.74	24399	223.33	14.0348	255	0	255	0	255	16.5	2340	15.5	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	2340	0	0	0	0	0	0	0	0	0	0	0	0	0	5	178	0	
23	2745	2510	18	7	1	1	67	40	826.806	1782.54	50073	223.224	13.8296	255	0	255	0	255	16.5	2481	15.5	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	2481	0	0	0	0	0	0	0	0	0	0	0	0	0	9	226	0	
24	2902	2641	23	8	1	1	88	56	846.368	2011.97	50312	223.044	14.0225	255	0	255	0	255	16.5	2603	15.5	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	2603	0	0	0	0	0	0	0	0	0	0	0	0	0	10	251	0	
25	3115	2819	23	8	1	1	103	63	856.121	2149.03	53177	223.027	13.8006	255	0	255	0	255	16.5	2768	15.5	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	2768	0	0	0	0	0	0	0	0	0	0	0	0	0	15	281	0	
26	3421	3104	24	9	1	1	116	69	842.494	1982.45	45774	223.057	13.763	255	0	255	0	255	16.5	3030	15.5	302	0	0	0	0	0	0	0	0	0	0	0	0	0	1	73	3030	0	0	0	0	0	0	0	0	0	0	0	0	0	15	302	0	
27	3729	3364	22	8	1	1	134	76	839.321	1865.09	48275	223.179	13.8063	255	0	255	0	255	16.5	3276	15.5	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	3276	0	0	0	0	0	0	0	0	0	0	0	0	0	25	340	0	
28	3986	3593	24	8	1	1	146	76	852.764	1764.06	48132	223.574	13.9126	255	0	255	0	255	16.5	3491	15.5	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	3491	0	0	0	0	0	0	0	0	0	0	0	0	0	36	357	0	
29	4233	3797	30	9	1	1	174	91	857.186	1796.97	48839	223.291	13.9335	255	0	255	0	255	16.5	3669	15.5	391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	3669	0	0	0	0	0	0	0	0	0	0	0	0	0	45	391	0	
30	4324	3846	29	9	2	1	187	91	907.482	1995.53	49569	223.375	13.7887	255	0	255	0	255	16.5	3695	15.5	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	3695	0	0	0	0	0	0	0	0	0	0	0	0	0	43	435	0	
31	4487	3972	32	9	2	1	208	103	915.45	2115.83	48341	223.111	13.9068	255	0	255	0	255	16.5	3803	15.5	462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	3803	0	0	0	0	0	0	0	0	0	0	0	0	1	52	462	0	
32	4625	4043	31	10	2	1	228	109	928.224	2214.16	45447	223.028	13.9387	255	0	255	0	255	16.5	3846	15.5	531	0	0	0	0	0	0	0	0	0	0	0	0	0	1	196	3846	0	0	0	0	0	0	0	0	0	0	0	0	0	51	531	0	
33	4657	4005	32	10	4	1	253	117	946.209	2342.28	43043	222.543	13.8129	255	0	255	0	255	16.5	3810	15.5	586	0	0	0	0	0	0	0	0	0	0	0	0	0	2	193	3810	0	0	0	0	0	0	0	0	0	0	0	0	0	66	586	0	
34	4614	3930	34	10	4	1	278	124	965.819	2405.75	42023	222.599	13.8727	255	0	255	0	255	16.5	3720	15.5	620	0	0	0	0	0	0	0	0	0	0	0	0	0	3	207	3720	0	0	0	0	0	0	0	0	0	0	0	0	0	64	620	0	
35	4627	3895	37	10	4	1	302	124	967.856	2415.71	42015	222.328	13.696	255	0	255	0	255	16.5	3673	15.5	649	0	0	0	0	0	0	0	0	0	0	0	0	0	5	217	3673	0	0	0	0	0	0	0	0	0	0	0	0	2	81	649	0	
36	4716	3967	34	10	4	1	322	125	943.155	2335.94	55062	222.226	13.5788	255	0	255	0	255	16.5	3734	15.5	678	0	0	0	0	0	0	0	0	0	0	0	0	0	3	230	3734	0	0	0	0	0	0	0	0	0	0	0	0	4	67	678	0	
37	4686	3926	39	10	4	1	348	135	952.849	2411.36	47735	222.153	13.4428	255	0	255	0	255	16.5	3664	15.5	680	0	0	0	0	0	0	0	0	0	0	0	0	0	1	261	3664	0	0	0	0	0	0	0	0	0	0	0	0	8	72	680	0	
38	4859	4039	40	9	4	1	371	141	925.757	2351.92	39840	221.956	13.5507	255	0	255	0	255	16.5	3768	15.5	722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271	3768	0	0	0	0	0	0	0	0	0	0	0	0	5	93	722	0	
39	4969	4058	44	9	5	1	396	151	917.208	2343.92	57174	222.006	13.6705	255	0	255	0	255	16.5	3795	15.5	791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	3795	0	0	0	0	0	0	0	0	0	0	0	0	11	109	791	0	
