"IMPORTANT FILOGENETIC" LINES from 0-th step to global "end of life" in 307-th step
MODEL PARAMETERS:
ROZMIAR=	300x150
MAPA=	
WYPOSAZENIE_POTOMSTWA=	0.05
EFEKTYWNOSC_AUTOTROFA=	0.5
MAX_WIEK=	50
PLODNOSC=	0.2
RTG=	0.000625
PRAWDOPODOBIENSTWO KATASTROF=	0(disabled)
EKSPLOATACJA=	DRAPIEZNICZA
DYSTANS RUCHU=	1
BIT_STABILIZACJI_RUCHU=	1024
ELASTYCZNE MIJANIE=	YES
MONTECARLO STEPS per STEP=	10

FULLCODE	ORDNUMBER	ANCORDNUM	BEGSTEP	ENDSTEP	LIFETIME	CURRAGENTS	ALLAGENTS	FEEDNISHE	DEFFNISHE	FEEDSPEC	DEFFSPEC	SPECJALIS	NISHENAME
7f53_6baa	27562	18393	305		2	4	6	127	83	7	4	11	7f53	
6f5f_29fa	10746	2340	168	208	40	0	231	111	95	6	6	12	6f5f	
7f5d_2b24	11044	2340	170	243	73	0	420	127	93	7	5	12	7f5d	
7f4f_2c7f	11391	2340	173	212	39	0	150	127	79	7	5	12	7f4f	
7f1f_2c92	11410	2340	174	193	19	0	95	127	31	7	5	12	7f1f	
7f7e_d2c	3372	630	86	197	111	0	1435	127	126	7	6	13	7f7e	
7f76_208d	8333	3372	145	183	38	0	248	127	118	7	5	12	7f76	
777f_111c	4380	630	97	101	4	0	5	119	127	6	7	13	777f	
fd7f_304	772	63	49	112	63	0	895	253	127	7	7	14	fd7f	
7f7f_388	904	63	52	256	204	0	34872	127	127	7	7	14	7f7f	
7f7e_7ad	1965	904	69	154	85	0	673	127	126	7	6	13	7f7e	
7f76_174b	5963	1965	115	223	108	0	691	127	118	7	5	12	7f76	
777e_1b69	7017	1965	129	166	37	0	121	119	126	6	6	12	777e	
7f6e_1be3	7139	1965	131	219	88	0	1752	127	110	7	5	12	7f6e	
7d6e_324a	12874	7139	186	250	64	0	429	125	110	6	5	11	7d6e	
7d6f_3530	13616	12874	192	256	64	0	216	125	111	6	6	12	7d6f	
7f4e_364b	13899	7139	195	203	8	0	8	127	78	7	4	11	7f4e	
776e_3706	14086	7139	196	243	47	0	204	119	110	6	5	11	776e	
7b7f_1162	4450	904	98	150	52	0	486	123	127	6	7	13	7b7f	
7b7f_123a	4666	904	101	127	26	0	121	123	127	6	7	13	7b7f	
7f7d_13c8	5064	904	105	175	70	0	664	127	125	7	6	13	7f7d	
7f5f_144f	5199	904	106	254	148	0	2034	127	95	7	6	13	7f5f	
7e5f_1872	6258	5199	119	121	2	0	3	126	95	6	6	12	7e5f	
7e5f_350e	13582	5199	192	216	24	0	133	126	95	6	6	12	7e5f	
7f6f_148e	5262	904	107	205	98	0	1021	127	111	7	6	13	7f6f	
3f7f_1663	5731	904	112	152	40	0	215	63	127	6	7	13	3f7f	
3fff_18fe	6398	5731	121	150	29	0	129	63	255	6	8	14	3fff	
3f7f_1f66	8038	6398	141		166	13	11842	63	127	6	7	13	3f7f	
3f7d_3719	14105	8038	196	238	42	0	181	63	125	6	6	12	3f7d	
3f3d_4aec	19180	14105	237		70	104	2500	63	61	6	5	11	3f3d	
3d3d_6b42	27458	19180	304		3	2	6	61	61	5	5	10	3d3d	
1f3d_6c89	27785	19180	307		0	1	2	31	61	5	5	10	1f3d	
377f_3df3	15859	8038	210		97	33	2397	55	127	5	7	12	377f	
373f_4875	18549	15859	232	295	63	0	396	55	63	5	6	11	373f	
377f_4d15	19733	18549	242	297	55	0	594	55	127	5	7	12	377f	
373f_59db	23003	15859	268		39	62	1210	55	63	5	6	11	373f	
337f_67d7	26583	15859	296		11	3	26	51	127	4	7	11	337f	
3f7d_40d0	16592	8038	216	242	26	0	124	63	125	6	6	12	3f7d	
377f_4664	18020	8038	228	296	68	0	1045	55	127	5	7	12	377f	
1f7f_4b12	19218	8038	237		70	94	3776	31	127	5	7	12	1f7f	
1f7d_5485	21637	19218	257		50	15	704	31	125	5	6	11	1f7d	
1f3d_60fb	24827	21637	282	287	5	0	6	31	61	5	5	10	1f3d	
173d_61b0	25008	24827	283	285	2	0	1	23	61	4	5	9	173d	
1f3d_6cb4	27828	21637	307		0	1	1	31	61	5	5	10	1f3d	
1f7b_63cc	25548	19218	288		19	10	131	31	123	5	6	11	1f7b	
