
EXP:	Thu Dec 27 01:13:49 2018
CO-EVOLUTION [1545869629]
WORLD_SIZE=	200x100
THE_MAPP=	
DOWRY_OF_OFFSPRING=	0.05
AUTOTROPHS_EFFECTIVENESS=	0.99
MAX_AGE=	50
FERTILITY=	0.2
RTG=	0.000125
LIKELIHOOD_OF_DISASTERS=	0(disabled)
PREDATORY EXPLOITATION=	YES
MAX_MOVE=	1
DONT_MOVE_BIT=	1024
FLEXIBLE_MOVING=	YES
MONTECARLO STEPS per BIG STEP=	10
DATA_VER	MCStep	num. of agents	num. of autotrophs	clones	autotrophic clones	species	autotrophic species	clones from the beginning	species from the begining	Mean(EnergyA)	SD(EnergyA)	Max(EnergyA)	Mean(AgeA)	SD(AgeA)	Max(AgeA)	Min(DefenceA)	Max(DefenceA)	Min(TrophyA)	Max(TrophyA)	WhichMain(spec. bits of autotrophs)	MainClass(spec. bits of autotrophs)	WhichMain(spec. bits of heterotrophs)	MainClass(spec. bits of heterotrophs)	N1(spec. bits of autotrophs)	N2(spec. bits of autotrophs)	N3(spec. bits of autotrophs)	N4(spec. bits of autotrophs)	N5(spec. bits of autotrophs)	N6(spec. bits of autotrophs)	N7(spec. bits of autotrophs)	N8(spec. bits of autotrophs)	N9(spec. bits of autotrophs)	N10(spec. bits of autotrophs)	N11(spec. bits of autotrophs)	N12(spec. bits of autotrophs)	N13(spec. bits of autotrophs)	N14(spec. bits of autotrophs)	N15(spec. bits of autotrophs)	N16(spec. bits of autotrophs)	N1(spec. bits of heterotrophs)	N2(spec. bits of heterotrophs)	N3(spec. bits of heterotrophs)	N4(spec. bits of heterotrophs)	N5(spec. bits of heterotrophs)	N6(spec. bits of heterotrophs)	N7(spec. bits of heterotrophs)	N8(spec. bits of heterotrophs)	N9(spec. bits of heterotrophs)	N10(spec. bits of heterotrophs)	N11(spec. bits of heterotrophs)	N12(spec. bits of heterotrophs)	N13(spec. bits of heterotrophs)	N14(spec. bits of heterotrophs)	N15(spec. bits of heterotrophs)	N16(spec. bits of heterotrophs)	CLOCK
16	170	4176	4151	9	6	1	1	12	11	1798.32	1357.57	30605	226.197	14.2274	255	0	255	0	255	16.5	4139	15.5	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	4139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	9631
17	180	4813	4775	9	6	1	1	14	13	1847.43	1563.08	53079	226.447	14.4233	255	0	255	0	255	16.5	4760	15.5	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	4760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	9689
18	190	5506	5452	9	6	1	1	19	18	1875	1830.72	56705	226.33	14.5476	255	0	255	0	255	16.5	5432	15.5	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	5432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	9739
19	200	6220	6148	11	7	1	1	26	24	1891.09	2204.95	100910	226.26	14.5567	255	0	255	0	255	16.5	6125	15.5	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	6125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	9793
20	210	6929	6828	13	7	1	1	33	30	1925.84	2508.6	113670	226.098	14.4343	255	0	255	0	255	16.5	6798	15.5	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	6798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	9847
21	220	7548	7422	15	9	1	1	40	36	2007.71	3194.95	159814	226.365	14.3717	255	0	255	0	255	16.5	7385	15.5	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	7385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	9904
22	230	8118	7970	17	9	1	1	46	39	2078.2	3514.51	140249	226.595	14.4249	255	0	255	0	255	16.5	7931	15.5	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	7931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	9956
23	240	8674	8488	17	8	1	1	53	42	2136.58	3575.12	122657	226.853	14.511	255	0	255	0	255	16.5	8439	15.5	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	8439	0	0	0	0	0	0	0	0	0	0	0	0	0	1	185	0	10012
24	250	9128	8922	18	9	1	1	62	47	2183.84	4141.06	151394	226.734	14.6463	255	0	255	0	255	16.5	8861	15.5	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	8861	0	0	0	0	0	0	0	0	0	0	0	0	0	4	202	0	10068
25	260	9688	9449	19	9	1	1	70	52	2166.82	4433.04	153073	226.257	14.6754	255	0	255	0	255	16.5	9381	15.5	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	9381	0	0	0	0	0	0	0	0	0	0	0	0	0	3	236	0	10128
